Cas;ID;Admission;Séjour / Congé;Fugue;Provenance;Date de début;Année de début;Séjour;Date de fin;Durée;Date majorité;Destination;Motifs de placement
1;HbSqUn87tZE;Admission 1;;;Eltern / Familie;16.08.2022;2022;;22.05.2024;646;45407;majorité; 
1;HbSqUn87tZE;;Séjour 1;;Eltern / Familie;16.08.2022;2022;CSEE_X Intensivpädagogische Wohngruppe;02.02.2023;171;45407;;
1;HbSqUn87tZE;;;Fugue 1;;27.12.2022;2022;CSEE_X Intensivpädagogische Wohngruppe;03.01.2023;7;45407;;
1;HbSqUn87tZE;;;Fugue 2;;09.01.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;11.01.2023;2;45407;;
1;HbSqUn87tZE;;;Fugue 3;;20.01.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;22.01.2023;3;45407;;
1;HbSqUn87tZE;;Séjour 2;;CSEE_X Intensivpädagogische  Wohngruppe;02.02.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;23.03.2023;50;45407;;
1;HbSqUn87tZE;;;Fugue 4;;03.02.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;11.02.2023;8;45407;;
1;HbSqUn87tZE;;;Fugue 5;;12.02.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;05.03.2023;21;45407;;
1;HbSqUn87tZE;;;Fugue 6;;11.03.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;12.03.2023;2;45407;;
1;HbSqUn87tZE;;Congé 1;;CSEE_X Intensivpädagogische  Wohngruppe;23.03.2023;2023;;29.03.2023;7;45407;Heimstruktur AEF LUX;
1;HbSqUn87tZE;;Congé 2;;;29.03.2023;2023;;28.04.2023;31;45407;Heimstruktur AEF LUX;
1;HbSqUn87tZE;;Congé 3;;;28.04.2023;2023;;07.06.2023;41;45407;Heimstruktur AEF LUX;
1;HbSqUn87tZE;;Séjour 3;;Heimstruktur AEF LUX;07.06.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;22.05.2024;351;45407;majorité;
1;HbSqUn87tZE;;;Fugue 7;;12.06.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;14.06.2023;2;45407;;
1;HbSqUn87tZE;;;Fugue 8;;18.06.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;20.06.2023;2;45407;;
2;QCr7jyDca5A;Admission 1;;;Eltern / Familie;10.08.2022;2022;;07.11.2024;821;45590;majorité; 
2;QCr7jyDca5A;;Séjour 1;;Eltern / Familie;10.08.2022;2022;CSEE_X Intensivpädagogische Wohngruppe;20.09.2023;407;45590;;
2;QCr7jyDca5A;;;Fugue 1;;06.11.2022;2022;CSEE_X Intensivpädagogische Wohngruppe;07.11.2022;2;45590;;
2;QCr7jyDca5A;;;Fugue 2;;01.03.2023;2023;CSEE_X Intensivpädagogische Wohngruppe;07.03.2023;7;45590;;
2;QCr7jyDca5A;;Congé 1;;CSEE_X Intensivpädagogische  Wohngruppe;20.09.2023;2023;;30.04.2024;224;45590;Eltern / Familie;
2;QCr7jyDca5A;Suivi 1;;;;13.02.2024;2024;;25.06.2024;134;45590;;
2;QCr7jyDca5A;;Séjour 2;;Eltern / Familie;30.04.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;07.11.2024;192;45590;majorité;
2;QCr7jyDca5A;;;Fugue 3;;07.05.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;19.06.2024;44;45590;;
2;QCr7jyDca5A;;;Fugue 4;;21.06.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;07.11.2024;139;45590;;
3;esvx8H0ssAo;Admission 1;;;;12.03.2022;2022;;30.03.2022;19;45986;CSEE_X; 
3;esvx8H0ssAo;;Séjour 1;;;12.03.2022;2022;CSEE Unisec;30.03.2022;19;45986;;
3;esvx8H0ssAo;Admission 2;;;CSEE Unisec;30.03.2022;2022;;27.09.2022;182;45986;Eltern / Familie; 
3;esvx8H0ssAo;;Congé 1;;CSEE Unisec;30.03.2022;2022;;26.09.2022;181;45986;Eltern / Familie;
3;esvx8H0ssAo;;Séjour 2;;Eltern / Familie;26.09.2022;2022;CSEE Unisec;27.09.2022;2;45986;;
4;tzv7JHistVQ;Admission 1;;;"Psychiatrische Einrichtung LUX
";21.06.2024;2024;;;;46808;;a b c m n 
4;tzv7JHistVQ;;Séjour 1;;"Psychiatrische Einrichtung LUX
";21.06.2024;2024;CSEE_X Intensivpädagogische Wohngruppe;09.04.2025;293;46808;;
4;tzv7JHistVQ;;Congé 1;;CSEE_X Intensivpädagogische  Wohngruppe;09.04.2025;2025;;;;46808;;
5;JuKLipDwu7g;Admission 1;;;Eltern / Familie;30.01.2025;2025;;24.08.2025;207;45863;; 
5;JuKLipDwu7g;;Séjour 1;;Eltern / Familie;30.01.2025;2025;CSEE_Y Aufnahmegruppe;24.08.2025;207;45863;majorité;
5;JuKLipDwu7g;;;Fugue 1;;15.02.2025;2025;CSEE_Y Aufnahmegruppe;21.02.2025;6;45863;;
5;JuKLipDwu7g;;;Fugue 2;;22.02.2025;2025;CSEE_Y Aufnahmegruppe;22.03.2025;28;45863;;
5;JuKLipDwu7g;;;Fugue 3;;23.03.2025;2025;CSEE_Y Aufnahmegruppe;20.08.2025;151;45863;;
5;JuKLipDwu7g;;;Fugue 4;;20.08.2025;2025;CSEE_Y Aufnahmegruppe;24.08.2025;4;45863;majorité;
6;UpKPi0hx35o;Admission 1;;;;06.07.2025;2025;;15.07.2025;10;45925;CSEE_Z;i 
6;UpKPi0hx35o;;Séjour 1;;;06.07.2025;2025;CSEE Unisec;15.07.2025;10;45925;;
6;UpKPi0hx35o;Admission 2;;;CSEE Unisec;15.07.2025;2025;;05.08.2025;22;45925;NA;i 
6;UpKPi0hx35o;;Séjour 2;;CSEE Unisec;15.07.2025;2025;CSEE_Z Intensivpädagogische Wohngruppe;05.08.2025;22;45925;;
6;UpKPi0hx35o;;;Fugue 1;;15.07.2025;2025;CSEE_Z Intensivpädagogische Wohngruppe;05.08.2025;21;45925;;
7;UYcWs5BnvQw;Admission 1;;;;30.05.2023;2023;;10.11.2023;165;45955;CSEE Unisec; 
