provenancesEtDestinations;definition;structureTypes;;;
Kernfamilie (nuclearfamily);parental based living: biological parent(s) or adoptive parent(s);family-based care;;;
Verwandtschaftspflege;placement in kinship care: non-parent relatives or legal guardian(s);family-based care;;;
Heimstruktur AEF LUX;type of placement: open residential care facility;residential care;;;
SLEMO LUX;type of placement: open-living apartment preparing for leaving care (Service Logement en Milieu Ouvert);transitional living form in residential care;;;
Internat LUX;placement in a boarding school;educational residential;;;
Psychiatrische Einrichtung LUX;placement in a child and adolescent psychiatric facility;secure placement;;;
CPL;placement in an adult prison;secure placement;;;
Einzelmassnahme Ausland;short-term educational/therapeutic program abroad;care abroad;;;
Heimstruktur AEF Ausland;long-term pedagogical/therapeutic residential placement abroad;care abroad;;;
Fluchtlingsstruktur LUX;placement in a national refugee shelter;refugee-specific placement;;;
Fluchtlingsstruktur Ausland;placement in a refugee shelter abroad;refugee-specific placement;;;
CSEE Intensivpadagogische Wohngruppe;type of CSEE-placement: regular residential group: site unknown ;residential care;;;
CSEE_X Intensivpadagogische Wohngruppe;type of CSEE-placement: regular residential group at site X ;residential care;;;
CSEE_Y Intensivpadagogische Wohngruppe;type of CSEE-placement: regular residential group at site Y ;residential care;;;
CSEE_Z Intensivpadagogische Wohngruppe;type of CSEE-placement: regular residential group at site Z ;residential care;;;
CSEE_X;Clarification: same variable as line 15;;;;
CSEE_Y;Clarification: same variable as line 16;;;;
CSEE_Z;Clarification: same variable as line 17;;;;
CSEE_Y Aufnahmegruppe;type of CSEE-placement: short-term intake and assessment group at site Y;transitional living form in residential care;;;
CSEE_Y semi-autonome Wohngruppe;type of CSEE-placement: semi-independent living group at site Y;transitional living form in residential care;;;
CSEE_Y Studio;type of CSEE-placement: independent living appartment at site Y (pre-leaving care);transitional living form in residential care;;;
CSEE Unisec;type of CSEE-placement: secure residential unit (unité de sécurité);secure placement;;;
ongoing;process status: CSEE-placement is still ongoing/continuing. The child or the young person remains in the CSEE.;process / status of care;;;
ongoing?;uncertain placement status: CSEE-placement is still ongoing/continuing. The child or the young person remains in the CSEE.;process / status of care;;;
majorite;process status: CSEE-placement terminated due to legal adulthood;process / status of care;;;
maj?;uncertain placement status: CSEE-placement terminated due to legal adulthood;process / status of care;;;
